DATE,BAMLCC7A01015YTRIV
1976-05-01,105.88
1976-06-01,107.09
1976-07-01,107.09
1976-08-01,107.09
1976-09-01,112.39
1976-10-01,112.39
1976-11-01,112.39
1976-12-01,119.78
1977-01-01,119.78
1977-02-01,119.78
1977-03-01,120.16
1977-04-01,120.16
1977-05-01,120.16
1977-06-01,124.2
1977-07-01,125.03
1977-08-01,126.16
1977-09-01,126.32
1977-10-01,126.04
1977-11-01,126.72
1977-12-01,125.93
1978-01-01,125.47
1978-02-01,125.51
1978-03-01,126.59
1978-04-01,126.73
1978-05-01,126.25
1978-06-01,126.19
1978-07-01,127.33
1978-08-01,129.73
1978-09-01,129.94
1978-10-01,128.16
1978-11-01,129.27
1978-12-01,127.68
1979-01-01,129.89
1979-02-01,129.69
1979-03-01,130.62
1979-04-01,130.67
1979-05-01,132.53
1979-06-01,134.68
1979-07-01,134.95
1979-08-01,135.5
1979-09-01,133.53
1979-10-01,124.4
1979-11-01,125.65
1979-12-01,124.84
1980-01-01,120.54
1980-02-01,111.64
1980-03-01,111.33
1980-04-01,123.82
1980-05-01,129.79
1980-06-01,133.7
1980-07-01,130.75
1980-08-01,124.09
1980-09-01,121.41
1980-10-01,121.15
1980-11-01,121.3
1980-12-01,123.72
1981-01-01,122.35
1981-02-01,119.92
1981-03-01,122.36
1981-04-01,115.13
1981-05-01,119.85
1981-06-01,120.11
1981-07-01,117.37
1981-08-01,113.05
1981-09-01,110.15
1981-10-01,117.04
1981-11-01,132.48
1981-12-01,124.06
1982-01-01,123.83
1982-02-01,126.31
1982-03-01,129.17
1982-04-01,133.73
1982-05-01,135.82
1982-06-01,131.27
1982-07-01,137.63
1982-08-01,147.21
1982-09-01,155.06
1982-10-01,165.94
1982-11-01,170.28
1982-12-01,171.72
1983-01-01,172.78
1983-02-01,178.01
1983-03-01,181.83
1983-04-01,190.14
1983-05-01,186.25
1983-06-01,184.64
1983-07-01,178.3
1983-08-01,179.24
1983-09-01,184.7
1983-10-01,185.36
1983-11-01,187.45
1983-12-01,187.12
1984-01-01,192.22
1984-02-01,189.51
1984-03-01,186.51
1984-04-01,185.27
1984-05-01,178.47
1984-06-01,180.95
1984-07-01,190.1
1984-08-01,194.79
1984-09-01,200.9
1984-10-01,210.89
1984-11-01,215.34
1984-12-01,219.06
1985-01-01,225.45
1985-02-01,219.17
1985-03-01,223.35
1985-04-01,229.8
1985-05-01,246.93
1985-06-01,249.62
1985-07-01,247.74
1985-08-01,254.97
1985-09-01,255.1
1985-10-01,262.52
1985-11-01,271.36
1985-12-01,283.03
1986-01-01,284.38
1986-02-01,304.48
1986-03-01,310.69
1986-04-01,311.19
1986-05-01,308.73
1986-06-01,313.58
1986-07-01,314.89
1986-08-01,323.33
1986-09-01,320.36
1986-10-01,325.55
1986-11-01,328.085
1986-12-01,334.9945455
1987-01-01,341.0031818
1987-02-01,342.629
1987-03-01,345.4013636
1987-04-01,336.05
1987-05-01,326.3942857
1987-06-01,331.2677273
1987-07-01,333.3804545
1987-08-01,329.7719048
1987-09-01,320.7085714
1987-10-01,319.3469565
1987-11-01,331.702
1987-12-01,333.7140909
1988-01-01,342.297619
1988-02-01,356.0675
1988-03-01,356.9421739
1988-04-01,352.9442857
1988-05-01,348.3214286
1988-06-01,353.7945455
1988-07-01,353.9771429
1988-08-01,358.0956522
1988-09-01,367.1857143
1988-10-01,372.4142857
1988-11-01,372.7661905
1988-12-01,373.9981818
1989-01-01,375.7657143
1989-02-01,376.8684211
1989-03-01,376.7990909
1989-04-01,382.3072222
1989-05-01,391.2831818
1989-06-01,410.1771429
1989-07-01,416.6305
1989-08-01,418.2986957
1989-09-01,419.297619
1989-10-01,424.3277273
1989-11-01,426.4342857
1989-12-01,429.53
1990-01-01,426.3227273
1990-02-01,422.7705263
1990-03-01,423.383913
1990-04-01,422.3185
1990-05-01,425.9581818
1990-06-01,437.0518182
1990-07-01,440.6957143
1990-08-01,437.2213043
1990-09-01,436.7665
1990-10-01,442.3608696
1990-11-01,450.5995238
1990-12-01,461.242
1991-01-01,464.6518182
1991-02-01,476.2578947
1991-03-01,475.3933333
1991-04-01,483.7977273
1991-05-01,488.8077273
1991-06-01,486.5042857
1991-07-01,491.3959091
1991-08-01,507.6734783
1991-09-01,518.7525
1991-10-01,527.2469565
1991-11-01,535.0904762
1991-12-01,547.7371429
1992-01-01,552.5804545
1992-02-01,548.731
1992-03-01,547.1136364
1992-04-01,555.2395238
1992-05-01,562.2685714
1992-06-01,571.3222727
1992-07-01,588.2086364
1992-08-01,598.8552381
1992-09-01,607.2238095
1992-10-01,604.5265217
1992-11-01,599.0095
1992-12-01,604.87
1993-01-01,614.6447619
1993-02-01,628.574
1993-03-01,641.3695652
1993-04-01,646.6771429
1993-05-01,648.4409524
1993-06-01,655.7840909
1993-07-01,666.1940909
1993-08-01,674.435
1993-09-01,690.8590476
1993-10-01,696.0245455
1993-11-01,683.0485714
1993-12-01,685.4022727
1994-01-01,691.392381
1994-02-01,685.8873684
1994-03-01,665.6473913
1994-04-01,646.16
1994-05-01,639.3552381
1994-06-01,647.8681818
1994-07-01,644.0319048
1994-08-01,651.6617391
1994-09-01,646.6609524
1994-10-01,638.3566667
1994-11-01,633.1214286
1994-12-01,643.0377273
1995-01-01,649.1642857
1995-02-01,668.04
1995-03-01,687.0708696
1995-04-01,699.376
1995-05-01,725.1922727
1995-06-01,751.0495455
1995-07-01,750.5695
1995-08-01,744.7165217
1995-09-01,764.062381
1995-10-01,774.4072727
1995-11-01,782.5442857
1995-12-01,797.3657143
1996-01-01,805.0831818
1996-02-01,802.3105
1996-03-01,782.1527273
1996-04-01,773.8981818
1996-05-01,767.8918182
1996-06-01,764.9880952
1996-07-01,772.4681818
1996-08-01,790.1217391
1996-09-01,784.9715
1996-10-01,808.1552174
1996-11-01,833.8566667
1996-12-01,832.4452381
1997-01-01,822.0386364
1997-02-01,837.2310526
1997-03-01,826.068
1997-04-01,820.0804545
1997-05-01,836.0631818
1997-06-01,855.2690476
1997-07-01,878.5181818
1997-08-01,878.0927273
1997-09-01,889.1704762
1997-10-01,904.9952174
1997-11-01,913.3942857
1997-12-01,920.9768182
1998-01-01,943.2586364
1998-02-01,943.5342857
1998-03-01,944.1759091
1998-04-01,951.1157143
1998-05-01,955.8054545
1998-06-01,969.9922727
1998-07-01,975.3304348
1998-08-01,982.182381
1998-09-01,994.7786364
1998-10-01,1005.65
1998-11-01,993.1328571
1998-12-01,1025.472273
1999-01-01,1026.905238
1999-02-01,1016.801905
1999-03-01,1011.702609
1999-04-01,1022.781364
1999-05-01,1003.437143
1999-06-01,978.6109091
1999-07-01,989.3304348
1999-08-01,977.4054545
1999-09-01,981.7622727
1999-10-01,977.4609091
1999-11-01,992.9418182
1999-12-01,986.506087
2000-01-01,970.1233333
2000-02-01,981.5347619
2000-03-01,995.3491304
2000-04-01,1004.8785
2000-05-01,968.5991304
2000-06-01,995.7559091
2000-07-01,1010.776667
2000-08-01,1030.178261
2000-09-01,1038.545
2000-10-01,1051.761818
2000-11-01,1056.197273
2000-12-01,1091.615238
2001-01-01,1115.788182
2001-02-01,1137.1915
2001-03-01,1162.788261
2001-04-01,1152.914
2001-05-01,1151.775217
2001-06-01,1173.404091
2001-07-01,1183.604091
2001-08-01,1211.541304
2001-09-01,1219.801111
2001-10-01,1234.20087
2001-11-01,1233.530909
2001-12-01,1208.4095
2002-01-01,1226.810909
2002-02-01,1237.516
2002-03-01,1217.744762
2002-04-01,1233.801818
2002-05-01,1232.29087
2002-06-01,1263.762381
2002-07-01,1260.364783
2002-08-01,1265.64913
2002-09-01,1308.042857
2002-10-01,1291.554783
2002-11-01,1311.877273
2002-12-01,1336.338095
2003-01-01,1357.823636
2003-02-01,1380.5435
2003-03-01,1400.847619
2003-04-01,1405.975238
2003-05-01,1472.743478
2003-06-01,1511
2003-07-01,1451.886522
2003-08-01,1400.495
2003-09-01,1434.611364
2003-10-01,1448.142609
2003-11-01,1457.348095
2003-12-01,1472.213182
2004-01-01,1499.476364
2004-02-01,1512.84619
2004-03-01,1549.399565
2004-04-01,1493.292381
2004-05-01,1449.853333
2004-06-01,1453.037273
2004-07-01,1489.238261
2004-08-01,1522.135909
2004-09-01,1552.155455
2004-10-01,1567.221818
2004-11-01,1567.462273
2004-12-01,1578.68
2005-01-01,1590.204286
2005-02-01,1609.3895
2005-03-01,1577.865
2005-04-01,1595.057273
2005-05-01,1619.199091
2005-06-01,1646.173636
2005-07-01,1636.450909
2005-08-01,1637.77
2005-09-01,1653.357727
2005-10-01,1622.637619
2005-11-01,1616.625
2005-12-01,1631.974545
2006-01-01,1646.577619
2006-02-01,1635.199
2006-03-01,1627.570435
2006-04-01,1605.8805
2006-05-01,1602.073913
2006-06-01,1603.123182
2006-07-01,1611.757619
2006-08-01,1646.37913
2006-09-01,1674.097273
2006-10-01,1680.007727
2006-11-01,1708.088636
2006-12-01,1721.529048
2007-01-01,1708.288182
2007-02-01,1721.2945
2007-03-01,1747.428261
2007-04-01,1740.7035
2007-05-01,1742.791818
2007-06-01,1704.215909
2007-07-01,1712.950909
2007-08-01,1731.504783
2007-09-01,1752.962381
2007-10-01,1771.661304
2007-11-01,1793.570909
2007-12-01,1781.28
2008-01-01,1811.377727
2008-02-01,1795.634762
2008-03-01,1790.414
2008-04-01,1775.894091
2008-05-01,1777.437826
2008-06-01,1751.383333
2008-07-01,1738.651739
2008-08-01,1745.427273
2008-09-01,1729.762273
2008-10-01,1554.920435
2008-11-01,1547.785238
2008-12-01,1610.542273
2009-01-01,1666.130909
2009-02-01,1687.409524
2009-03-01,1669.73
2009-04-01,1703.271905
2009-05-01,1761.436364
2009-06-01,1808.783636
2009-07-01,1880.161304
2009-08-01,1961.140476
2009-09-01,2027.837273
2009-10-01,2063.167826
2009-11-01,2089.785238
2009-12-01,2097.488182
2010-01-01,2128.721429
2010-02-01,2135.938095
2010-03-01,2162.835217
2010-04-01,2184.06619
2010-05-01,2220.550952
2010-06-01,2223.880909
2010-07-01,2287.676522
2010-08-01,2364.789091
2010-09-01,2380.841818
2010-10-01,2426.615455
2010-11-01,2410.246364
2010-12-01,2338.765652
2011-01-01,2355.793333
2011-02-01,2348.7205
2011-03-01,2389.226522
2011-04-01,2407.908095
2011-05-01,2471.488636
2011-06-01,2496.638182
2011-07-01,2506.359091
2011-08-01,2587.439565
2011-09-01,2592.595909
2011-10-01,2543.839048
2011-11-01,2596.495455
2011-12-01,2595.215909
2012-01-01,2633.449048
2012-02-01,2684.709048
2012-03-01,2690.871304
2012-04-01,2723.9925
2012-05-01,2760.406957
2012-06-01,2782.280455
2012-07-01,2842.523182
2012-08-01,2854.436957
2012-09-01,2892.155714
2012-10-01,2942.28
2012-11-01,2977.189545
2012-12-01,2981.0395
2013-01-01,2970.449091
2013-02-01,2961.5625
2013-03-01,2983.857619
2013-04-01,3042.179091
2013-05-01,3020.197826
2013-06-01,2902.102857
2013-07-01,2848.313478
2013-08-01,2831.330952
2013-09-01,2820.086667
2013-10-01,2890.681739
2013-11-01,2888.867273
2013-12-01,2877.156667
2014-01-01,2920.745
2014-02-01,2971.5055
2014-03-01,2990.04
2014-04-01,3026.405714
2014-05-01,3092.261304
2014-06-01,3106.504286
2014-07-01,3136.461304
2014-08-01,3174.546818
2014-09-01,3157.811818
2014-10-01,3210.843478
2014-11-01,3203.045238
2014-12-01,3214.296818
2015-01-01,3292.610952
2015-02-01,3290.102381
2015-03-01,3290.749545
2015-04-01,3336.934286
2015-05-01,3276.658095
2015-06-01,3224.923182
2015-07-01,3227.950435
2015-08-01,3246.766667
2015-09-01,3241.642727
2015-10-01,3271.133478
2015-11-01,3244.824762
2015-12-01,3239.379545
2016-01-01,3244.401905
2016-02-01,3255.905238
2016-03-01,3301.667727
2016-04-01,3402.220909
2016-05-01,3436.595909
2016-06-01,3487.084091
2016-07-01,3566.082273
2016-08-01,3602.590435
2016-09-01,3608.893636
2016-10-01,3605.625238
2016-11-01,3514.228182
2016-12-01,3465.071364
2017-01-01,3515.821429
2017-02-01,3536.029
2017-03-01,3536.131304
2017-04-01,3605.877
2017-05-01,3633.18087
2017-06-01,3683.878182
2017-07-01,3680.309524
2017-08-01,3726.220435
2017-09-01,3740.737273
2017-10-01,3742.099091
2017-11-01,3761.122727
2017-12-01,3775.52
2018-01-01,3762.175
2018-02-01,3689.8075
2018-03-01,3682.891364
2018-04-01,3678.672857
2018-05-01,3640.047826
2018-06-01,3640.733333
