DATE,CSUSHPINSA
1987-01-01,63.754
1987-02-01,64.154
1987-03-01,64.49
1987-04-01,64.996
1987-05-01,65.572
1987-06-01,66.242
1987-07-01,66.806
1987-08-01,67.287
1987-09-01,67.641
1987-10-01,67.919
1987-11-01,68.11
1987-12-01,68.361
1988-01-01,68.599
1988-02-01,68.931
1988-03-01,69.338
1988-04-01,69.801
1988-05-01,70.419
1988-06-01,71.078
1988-07-01,71.696
1988-08-01,72.196
1988-09-01,72.585
1988-10-01,72.833
1988-11-01,73.076
1988-12-01,73.288
1989-01-01,73.624
1989-02-01,73.973
1989-03-01,74.415
1989-04-01,74.874
1989-05-01,75.302
1989-06-01,75.703
1989-07-01,76.05
1989-08-01,76.281
1989-09-01,76.429
1989-10-01,76.494
1989-11-01,76.525
1989-12-01,76.499
1990-01-01,76.527
1990-02-01,76.587
1990-03-01,76.79
1990-04-01,77.04
1990-05-01,77.299
1990-06-01,77.504
1990-07-01,77.557
1990-08-01,77.474
1990-09-01,77.224
1990-10-01,76.907
1990-11-01,76.376
1990-12-01,75.967
1991-01-01,75.528
1991-02-01,75.249
1991-03-01,75.14
1991-04-01,75.314
1991-05-01,75.769
1991-06-01,76.254
1991-07-01,76.509
1991-08-01,76.587
1991-09-01,76.573
1991-10-01,76.286
1991-11-01,76.034
1991-12-01,75.833
1992-01-01,75.697
1992-02-01,75.652
1992-03-01,75.812
1992-04-01,76.079
1992-05-01,76.398
1992-06-01,76.603
1992-07-01,76.713
1992-08-01,76.734
1992-09-01,76.632
1992-10-01,76.602
1992-11-01,76.584
1992-12-01,76.469
1993-01-01,76.4
1993-02-01,76.332
1993-03-01,76.387
1993-04-01,76.665
1993-05-01,77.034
1993-06-01,77.519
1993-07-01,77.888
1993-08-01,78.134
1993-09-01,78.203
1993-10-01,78.178
1993-11-01,78.178
1993-12-01,78.122
1994-01-01,78.206
1994-02-01,78.213
1994-03-01,78.358
1994-04-01,78.713
1994-05-01,79.221
1994-06-01,79.714
1994-07-01,80.075
1994-08-01,80.328
1994-09-01,80.349
1994-10-01,80.312
1994-11-01,80.177
1994-12-01,80.087
1995-01-01,80.038
1995-02-01,80.008
1995-03-01,80.097
1995-04-01,80.39
1995-05-01,80.712
1995-06-01,81.089
1995-07-01,81.431
1995-08-01,81.673
1995-09-01,81.759
1995-10-01,81.749
1995-11-01,81.654
1995-12-01,81.537
1996-01-01,81.451
1996-02-01,81.424
1996-03-01,81.69
1996-04-01,82.149
1996-05-01,82.626
1996-06-01,83.075
1996-07-01,83.447
1996-08-01,83.675
1996-09-01,83.732
1996-10-01,83.658
1996-11-01,83.585
1996-12-01,83.518
1997-01-01,83.557
1997-02-01,83.621
1997-03-01,83.937
1997-04-01,84.352
1997-05-01,84.899
1997-06-01,85.432
1997-07-01,85.875
1997-08-01,86.183
1997-09-01,86.343
1997-10-01,86.44
1997-11-01,86.664
1997-12-01,86.88
1998-01-01,87.196
1998-02-01,87.407
1998-03-01,87.91
1998-04-01,88.59
1998-05-01,89.406
1998-06-01,90.226
1998-07-01,90.891
1998-08-01,91.438
1998-09-01,91.783
1998-10-01,92.03
1998-11-01,92.227
1998-12-01,92.474
1999-01-01,92.744
1999-02-01,93.011
1999-03-01,93.642
1999-04-01,94.468
1999-05-01,95.394
1999-06-01,96.396
1999-07-01,97.224
1999-08-01,97.93
1999-09-01,98.434
1999-10-01,98.87
1999-11-01,99.189
1999-12-01,99.583
2000-01-01,100
2000-02-01,100.57
2000-03-01,101.465
2000-04-01,102.54
2000-05-01,103.702
2000-06-01,104.855
2000-07-01,105.721
2000-08-01,106.521
2000-09-01,107.135
2000-10-01,107.728
2000-11-01,108.291
2000-12-01,108.791
2001-01-01,109.215
2001-02-01,109.643
2001-03-01,110.394
2001-04-01,111.247
2001-05-01,112.202
2001-06-01,113.273
2001-07-01,114.23
2001-08-01,114.991
2001-09-01,115.467
2001-10-01,115.682
2001-11-01,115.839
2001-12-01,116.055
2002-01-01,116.437
2002-02-01,116.917
2002-03-01,117.931
2002-04-01,119.211
2002-05-01,120.79
2002-06-01,122.334
2002-07-01,123.687
2002-08-01,124.729
2002-09-01,125.492
2002-10-01,126.135
2002-11-01,126.64
2002-12-01,127.149
2003-01-01,127.652
2003-02-01,128.327
2003-03-01,129.31
2003-04-01,130.49
2003-05-01,131.841
2003-06-01,133.225
2003-07-01,134.645
2003-08-01,135.963
2003-09-01,137.076
2003-10-01,137.977
2003-11-01,138.768
2003-12-01,139.632
2004-01-01,140.711
2004-02-01,142.034
2004-03-01,144.085
2004-04-01,146.182
2004-05-01,148.335
2004-06-01,150.517
2004-07-01,152.336
2004-08-01,153.812
2004-09-01,155.108
2004-10-01,156.299
2004-11-01,157.498
2004-12-01,158.674
2005-01-01,160.136
2005-02-01,161.932
2005-03-01,164.582
2005-04-01,167
2005-05-01,169.542
2005-06-01,172.013
2005-07-01,174.096
2005-08-01,175.922
2005-09-01,177.611
2005-10-01,178.754
2005-11-01,179.677
2005-12-01,180.111
2006-01-01,180.832
2006-02-01,181.504
2006-03-01,182.753
2006-04-01,183.65
2006-05-01,184.382
2006-06-01,184.551
2006-07-01,184.615
2006-08-01,184.414
2006-09-01,184.207
2006-10-01,184.062
2006-11-01,183.638
2006-12-01,183.236
2007-01-01,182.724
2007-02-01,182.476
2007-03-01,182.199
2007-04-01,182.138
2007-05-01,181.892
2007-06-01,181.549
2007-07-01,181.003
2007-08-01,180.244
2007-09-01,179.132
2007-10-01,177.542
2007-11-01,175.175
2007-12-01,173.351
2008-01-01,171.09
2008-02-01,169.203
2008-03-01,167.914
2008-04-01,167.332
2008-05-01,167.03
2008-06-01,166.55
2008-07-01,165.729
2008-08-01,164.294
2008-09-01,161.926
2008-10-01,159.172
2008-11-01,156.079
2008-12-01,152.554
2009-01-01,149.373
2009-02-01,147.63
2009-03-01,146.528
2009-04-01,146.96
2009-05-01,148.189
2009-06-01,149.813
2009-07-01,150.759
2009-08-01,150.675
2009-09-01,149.634
2009-10-01,148.595
2009-11-01,147.954
2009-12-01,146.684
2010-01-01,145.003
2010-02-01,143.057
2010-03-01,143.594
2010-04-01,145.392
2010-05-01,147.023
2010-06-01,147.686
2010-07-01,147.54
2010-08-01,146.399
2010-09-01,144.583
2010-10-01,143.115
2010-11-01,141.814
2010-12-01,140.63
2011-01-01,139.043
2011-02-01,137.74
2011-03-01,137.79
2011-04-01,139.154
2011-05-01,140.684
2011-06-01,141.935
2011-07-01,142.328
2011-08-01,141.77
2011-09-01,140.153
2011-10-01,138.395
2011-11-01,136.652
2011-12-01,135.155
2012-01-01,134.16
2012-02-01,133.994
2012-03-01,135.871
2012-04-01,138.488
2012-05-01,141.067
2012-06-01,143.184
2012-07-01,144.292
2012-08-01,144.714
2012-09-01,144.368
2012-10-01,143.98
2012-11-01,143.975
2012-12-01,143.883
2013-01-01,144.326
2013-02-01,145.174
2013-03-01,147.978
2013-04-01,150.993
2013-05-01,153.886
2013-06-01,156.452
2013-07-01,158.31
2013-08-01,159.416
2013-09-01,159.696
2013-10-01,159.582
2013-11-01,159.394
2013-12-01,159.315
2014-01-01,159.408
2014-02-01,159.914
2014-03-01,161.232
2014-04-01,163.01
2014-05-01,164.723
2014-06-01,166.247
2014-07-01,167.166
2014-08-01,167.482
2014-09-01,167.278
2014-10-01,166.95
2014-11-01,166.704
2014-12-01,166.512
2015-01-01,166.305
2015-02-01,166.692
2015-03-01,168.153
2015-04-01,170.036
2015-05-01,171.919
2015-06-01,173.519
2015-07-01,174.563
2015-08-01,175.01
2015-09-01,175.125
2015-10-01,175.137
2015-11-01,175.238
2015-12-01,175.218
2016-01-01,175.139
2016-02-01,175.384
2016-03-01,176.702
2016-04-01,178.593
2016-05-01,180.451
2016-06-01,182.047
2016-07-01,183.173
2016-08-01,183.826
2016-09-01,184.127
2016-10-01,184.209
2016-11-01,184.435
2016-12-01,184.624
2017-01-01,184.877
2017-02-01,185.27
2017-03-01,186.791
2017-04-01,188.812
2017-05-01,190.818
2017-06-01,192.557
2017-07-01,193.822
2017-08-01,194.666
2017-09-01,195.141
2017-10-01,195.413
2017-11-01,195.79
2017-12-01,196.172
2018-01-01,196.181
2018-02-01,197.013
