DATE,EXHKUS
1981-01-01,5.1825
1981-02-01,5.3012
1981-03-01,5.3012
1981-04-01,5.3575
1981-05-01,5.4473
1981-06-01,5.5147
1981-07-01,5.7036
1981-08-01,5.9384
1981-09-01,6.026
1981-10-01,5.9869
1981-11-01,5.6681
1981-12-01,5.6329
1982-01-01,5.7959
1982-02-01,5.8857
1982-03-01,5.8298
1982-04-01,5.827
1982-05-01,5.7549
1982-06-01,5.8669
1982-07-01,5.9025
1982-08-01,6.0598
1982-09-01,6.1253
1982-10-01,6.6038
1982-11-01,6.6724
1982-12-01,6.5417
1983-01-01,6.5252
1983-02-01,6.606
1983-03-01,6.6536
1983-04-01,6.7868
1983-05-01,6.9667
1983-06-01,7.2822
1983-07-01,7.1678
1983-08-01,7.4416
1983-09-01,8.0079
1983-10-01,8.0948
1983-11-01,7.8121
1983-12-01,7.8045
1984-01-01,7.7968
1984-02-01,7.7883
1984-03-01,7.7943
1984-04-01,7.8073
1984-05-01,7.8159
1984-06-01,7.8131
1984-07-01,7.852
1984-08-01,7.8388
1984-09-01,7.843
1984-10-01,7.8242
1984-11-01,7.8235
1984-12-01,7.8287
1985-01-01,7.811
1985-02-01,7.8017
1985-03-01,7.8009
1985-04-01,7.7902
1985-05-01,7.7766
1985-06-01,7.7699
1985-07-01,7.7527
1985-08-01,7.7906
1985-09-01,7.8044
1985-10-01,7.7908
1985-11-01,7.8042
1985-12-01,7.8064
1986-01-01,7.8081
1986-02-01,7.8042
1986-03-01,7.8126
1986-04-01,7.7958
1986-05-01,7.808
1986-06-01,7.8107
1986-07-01,7.8123
1986-08-01,7.8003
1986-09-01,7.8026
1986-10-01,7.7999
1986-11-01,7.7974
1986-12-01,7.7931
1987-01-01,7.7698
1987-02-01,7.7952
1987-03-01,7.8017
1987-04-01,7.8024
1987-05-01,7.8049
1987-06-01,7.808
1987-07-01,7.809
1987-08-01,7.8091
1987-09-01,7.8035
1987-10-01,7.8077
1987-11-01,7.7968
1987-12-01,7.7726
1988-01-01,7.7872
1988-02-01,7.7978
1988-03-01,7.8028
1988-04-01,7.8118
1988-05-01,7.8156
1988-06-01,7.8073
1988-07-01,7.8135
1988-08-01,7.805
1988-09-01,7.8106
1988-10-01,7.8133
1988-11-01,7.8095
1988-12-01,7.8062
1989-01-01,7.8047
1989-02-01,7.8009
1989-03-01,7.7969
1989-04-01,7.7828
1989-05-01,7.78
1989-06-01,7.7934
1989-07-01,7.804
1989-08-01,7.8078
1989-09-01,7.8078
1989-10-01,7.8081
1989-11-01,7.814
1989-12-01,7.8102
1990-01-01,7.8116
1990-02-01,7.8103
1990-03-01,7.8129
1990-04-01,7.7966
1990-05-01,7.7877
1990-06-01,7.7855
1990-07-01,7.7704
1990-08-01,7.7707
1990-09-01,7.7647
1990-10-01,7.7722
1990-11-01,7.7951
1990-12-01,7.8034
1991-01-01,7.795
1991-02-01,7.7943
1991-03-01,7.7911
1991-04-01,7.7939
1991-05-01,7.7798
1991-06-01,7.7341
1991-07-01,7.761
1991-08-01,7.7646
1991-09-01,7.7524
1991-10-01,7.7542
1991-11-01,7.7591
1991-12-01,7.7738
1992-01-01,7.7612
1992-02-01,7.7582
1992-03-01,7.7463
1992-04-01,7.7404
1992-05-01,7.7421
1992-06-01,7.7343
1992-07-01,7.7341
1992-08-01,7.7318
1992-09-01,7.7298
1992-10-01,7.7298
1992-11-01,7.7348
1992-12-01,7.7416
1993-01-01,7.7376
1993-02-01,7.7335
1993-03-01,7.7332
1993-04-01,7.7306
1993-05-01,7.729
1993-06-01,7.7362
1993-07-01,7.7556
1993-08-01,7.7515
1993-09-01,7.7384
1993-10-01,7.7307
1993-11-01,7.7272
1993-12-01,7.7245
1994-01-01,7.7251
1994-02-01,7.7353
1994-03-01,7.7268
1994-04-01,7.7269
1994-05-01,7.7262
1994-06-01,7.7309
1994-07-01,7.7265
1994-08-01,7.7272
1994-09-01,7.7275
1994-10-01,7.7276
1994-11-01,7.7306
1994-12-01,7.7379
1995-01-01,7.7439
1995-02-01,7.7314
1995-03-01,7.7318
1995-04-01,7.7336
1995-05-01,7.7351
1995-06-01,7.7356
1995-07-01,7.7385
1995-08-01,7.7416
1995-09-01,7.7368
1995-10-01,7.7317
1995-11-01,7.7338
1995-12-01,7.7345
1996-01-01,7.7329
1996-02-01,7.7323
1996-03-01,7.7325
1996-04-01,7.7345
1996-05-01,7.7363
1996-06-01,7.7404
1996-07-01,7.7379
1996-08-01,7.7345
1996-09-01,7.7328
1996-10-01,7.7322
1996-11-01,7.7323
1996-12-01,7.7355
1997-01-01,7.7397
1997-02-01,7.7474
1997-03-01,7.746
1997-04-01,7.7483
1997-05-01,7.7431
1997-06-01,7.7445
1997-07-01,7.7454
1997-08-01,7.7436
1997-09-01,7.744
1997-10-01,7.7373
1997-11-01,7.7314
1997-12-01,7.7456
1998-01-01,7.7425
1998-02-01,7.7412
1998-03-01,7.7458
1998-04-01,7.7497
1998-05-01,7.749
1998-06-01,7.7471
1998-07-01,7.7483
1998-08-01,7.7494
1998-09-01,7.748
1998-10-01,7.7483
1998-11-01,7.7432
1998-12-01,7.7471
1999-01-01,7.7486
1999-02-01,7.749
1999-03-01,7.7493
1999-04-01,7.7495
1999-05-01,7.7531
1999-06-01,7.7575
1999-07-01,7.7603
1999-08-01,7.7638
1999-09-01,7.7665
1999-10-01,7.7696
1999-11-01,7.7718
1999-12-01,7.7728
2000-01-01,7.7791
2000-02-01,7.7816
2000-03-01,7.7848
2000-04-01,7.7880
2000-05-01,7.7907
2000-06-01,7.7934
2000-07-01,7.7969
2000-08-01,7.7995
2000-09-01,7.7985
2000-10-01,7.7977
2000-11-01,7.7991
2000-12-01,7.7991
2001-01-01,7.7998
2001-02-01,7.7999
2001-03-01,7.7999
2001-04-01,7.7993
2001-05-01,7.7999
2001-06-01,7.7997
2001-07-01,7.7999
2001-08-01,7.7997
2001-09-01,7.7997
2001-10-01,7.7999
2001-11-01,7.7996
2001-12-01,7.7989
2002-01-01,7.7989
2002-02-01,7.7996
2002-03-01,7.7997
2002-04-01,7.8000
2002-05-01,7.7994
2002-06-01,7.8000
2002-07-01,7.8000
2002-08-01,7.8
2002-09-01,7.7999
2002-10-01,7.7995
2002-11-01,7.7994
2002-12-01,7.7988
2003-01-01,7.7994
2003-02-01,7.7995
2003-03-01,7.7991
2003-04-01,7.7996
2003-05-01,7.7991
2003-06-01,7.7988
2003-07-01,7.7992
2003-08-01,7.7993
2003-09-01,7.7850
2003-10-01,7.7427
2003-11-01,7.7637
2003-12-01,7.7645
2004-01-01,7.7663
2004-02-01,7.7748
2004-03-01,7.7930
2004-04-01,7.7970
2004-05-01,7.7971
2004-06-01,7.7980
2004-07-01,7.8000
2004-08-01,7.7997
2004-09-01,7.7995
2004-10-01,7.7889
2004-11-01,7.7755
2004-12-01,7.7760
2005-01-01,7.7948
2005-02-01,7.7994
2005-03-01,7.7994
2005-04-01,7.7984
2005-05-01,7.7914
2005-06-01,7.7755
2005-07-01,7.7751
2005-08-01,7.7709
2005-09-01,7.7618
2005-10-01,7.7559
2005-11-01,7.7538
2005-12-01,7.7531
2006-01-01,7.7537
2006-02-01,7.7593
2006-03-01,7.7591
2006-04-01,7.7561
2006-05-01,7.7538
2006-06-01,7.7636
2006-07-01,7.7734
2006-08-01,7.7762
2006-09-01,7.7825
2006-10-01,7.7849
2006-11-01,7.7816
2006-12-01,7.7733
2007-01-01,7.8000
2007-02-01,7.8114
2007-03-01,7.8132
2007-04-01,7.8154
2007-05-01,7.8187
2007-06-01,7.8142
2007-07-01,7.8197
2007-08-01,7.8155
2007-09-01,7.7824
2007-10-01,7.7545
2007-11-01,7.7774
2007-12-01,7.7983
2008-01-01,7.8044
2008-02-01,7.7963
2008-03-01,7.7813
2008-04-01,7.7910
2008-05-01,7.7988
2008-06-01,7.8073
2008-07-01,7.8001
2008-08-01,7.8076
2008-09-01,7.7854
2008-10-01,7.7588
2008-11-01,7.7507
2008-12-01,7.7504
2009-01-01,7.7563
2009-02-01,7.7534
2009-03-01,7.7530
2009-04-01,7.7501
2009-05-01,7.7510
2009-06-01,7.7505
2009-07-01,7.7500
2009-08-01,7.7506
2009-09-01,7.7503
2009-10-01,7.7497
2009-11-01,7.7497
2009-12-01,7.7526
2010-01-01,7.7624
2010-02-01,7.7670
2010-03-01,7.7612
2010-04-01,7.7627
2010-05-01,7.7856
2010-06-01,7.7880
2010-07-01,7.7753
2010-08-01,7.7702
2010-09-01,7.7643
2010-10-01,7.7580
2010-11-01,7.7546
2010-12-01,7.7736
2011-01-01,7.7803
2011-02-01,7.7895
2011-03-01,7.7913
2011-04-01,7.7716
2011-05-01,7.7742
2011-06-01,7.7850
2011-07-01,7.7892
2011-08-01,7.7965
2011-09-01,7.7943
2011-10-01,7.7774
2011-11-01,7.7809
2011-12-01,7.7767
2012-01-01,7.7622
2012-02-01,7.7544
2012-03-01,7.7620
2012-04-01,7.7621
2012-05-01,7.7640
2012-06-01,7.7590
2012-07-01,7.7561
2012-08-01,7.7562
2012-09-01,7.7540
2012-10-01,7.7515
2012-11-01,7.7505
2012-12-01,7.7501
2013-01-01,7.7530
2013-02-01,7.7552
2013-03-01,7.7592
2013-04-01,7.7631
2013-05-01,7.7614
2013-06-01,7.7602
2013-07-01,7.7567
2013-08-01,7.7553
2013-09-01,7.7543
2013-10-01,7.7536
2013-11-01,7.7523
2013-12-01,7.7535
2014-01-01,7.7578
2014-02-01,7.7585
2014-03-01,7.7612
2014-04-01,7.7540
2014-05-01,7.7523
2014-06-01,7.7516
2014-07-01,7.7502
2014-08-01,7.7504
2014-09-01,7.7526
2014-10-01,7.7572
2014-11-01,7.7543
2014-12-01,7.7541
2015-01-01,7.7531
2015-02-01,7.7551
2015-03-01,7.7584
2015-04-01,7.7509
2015-05-01,7.7527
2015-06-01,7.7528
2015-07-01,7.7514
2015-08-01,7.7530
2015-09-01,7.7501
2015-10-01,7.7499
2015-11-01,7.7506
2015-12-01,7.7507
2016-01-01,7.7812
2016-02-01,7.7829
2016-03-01,7.7604
2016-04-01,7.7556
2016-05-01,7.7635
2016-06-01,7.7620
2016-07-01,7.7568
2016-08-01,7.7560
2016-09-01,7.7564
2016-10-01,7.7570
2016-11-01,7.7560
2016-12-01,7.7586
2017-01-01,7.7560
2017-02-01,7.7596
2017-03-01,7.7658
2017-04-01,7.7737
2017-05-01,7.7864
2017-06-01,7.7984
2017-07-01,7.8091
2017-08-01,7.8217
2017-09-01,7.8127
2017-10-01,7.8053
2017-11-01,7.8052
2017-12-01,7.8128
2018-01-01,7.819
2018-02-01,7.8222
2018-03-01,7.8413
2018-04-01,7.8482
2018-05-01,7.8495
